activity_id,molecule_chembl_id,canonical_smiles,molecule_pref_name,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_description,assay_type,document_chembl_id,document_journal,document_year,target_chembl_id,target_pref_name
162088,CHEMBL423148,C[C@H](N)C(=O)N1CCCCC1P(=O)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,,K obs / 1,=,1300.0,M-1 s-1,,CHEMBL666471,The second order inhibition rate constant was measured against human placenta dipeptidylpeptidase 4,B,CHEMBL1127410,J Med Chem,1994,CHEMBL284,Dipeptidyl peptidase 4
162209,CHEMBL1743687,Br.Br.NCCCC[C@H](N)C(=O)N1CCC[C@H]1P(=O)(Oc1ccccc1)Oc1ccccc1,,Inhibition,=,0.0,%,,CHEMBL664816,Percentage inhibition was measured on human placenta dipeptidylpeptidase 4 after 2 min incubation,B,CHEMBL1127410,J Med Chem,1994,CHEMBL284,Dipeptidyl peptidase 4
162210,CHEMBL1743687,Br.Br.NCCCC[C@H](N)C(=O)N1CCC[C@H]1P(=O)(Oc1ccccc1)Oc1ccccc1,,Inhibition,=,0.0,%,,CHEMBL857573,Percentage inhibition was measured on human placenta dipeptidylpeptidase 4 after 30 min,B,CHEMBL1127410,J Med Chem,1994,CHEMBL284,Dipeptidyl peptidase 4
162212,CHEMBL1743687,Br.Br.NCCCC[C@H](N)C(=O)N1CCC[C@H]1P(=O)(Oc1ccccc1)Oc1ccccc1,,K obs / 1,=,1.7,M-1 s-1,,CHEMBL666471,The second order inhibition rate constant was measured against human placenta dipeptidylpeptidase 4,B,CHEMBL1127410,J Med Chem,1994,CHEMBL284,Dipeptidyl peptidase 4
165758,CHEMBL1790483,CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,,IC50,=,25.0,nM,7.60,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL1129318,J Med Chem,1996,CHEMBL284,Dipeptidyl peptidase 4
168408,CHEMBL67279,CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,TALABOSTAT,IC50,=,26.0,nM,7.58,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL1129318,J Med Chem,1996,CHEMBL284,Dipeptidyl peptidase 4
168411,CHEMBL63860,C[C@H](N)C(=O)N1CCC[C@H]1B(O)O,,IC50,=,15.0,nM,7.82,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL1129318,J Med Chem,1996,CHEMBL284,Dipeptidyl peptidase 4
171960,CHEMBL338583,C[C@H](N)C(=O)N1CCCCC1P(=O)(O)Oc1ccccc1,,Inhibition,=,0.0,%,,CHEMBL664816,Percentage inhibition was measured on human placenta dipeptidylpeptidase 4 after 2 min incubation,B,CHEMBL1127410,J Med Chem,1994,CHEMBL284,Dipeptidyl peptidase 4
171961,CHEMBL338583,C[C@H](N)C(=O)N1CCCCC1P(=O)(O)Oc1ccccc1,,Inhibition,=,0.0,%,,CHEMBL857573,Percentage inhibition was measured on human placenta dipeptidylpeptidase 4 after 30 min,B,CHEMBL1127410,J Med Chem,1994,CHEMBL284,Dipeptidyl peptidase 4
172023,CHEMBL67089,NCC(=O)N1CCC[C@H]1B(O)O,,IC50,=,16000.0,nM,4.80,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL1129318,J Med Chem,1996,CHEMBL284,Dipeptidyl peptidase 4
173235,CHEMBL65406,CC(C)[C@@H](N)C(=O)N1CCC[C@@H]1B(O)O,,IC50,=,4000.0,nM,5.40,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL1129318,J Med Chem,1996,CHEMBL284,Dipeptidyl peptidase 4
173238,CHEMBL304007,N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1B(O)O,,IC50,=,32.0,nM,7.50,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL1129318,J Med Chem,1996,CHEMBL284,Dipeptidyl peptidase 4
175435,CHEMBL125567,C[C@H](N)C(=O)N1CCCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,,Inhibition,=,0.0,%,,CHEMBL664816,Percentage inhibition was measured on human placenta dipeptidylpeptidase 4 after 2 min incubation,B,CHEMBL1127410,J Med Chem,1994,CHEMBL284,Dipeptidyl peptidase 4
175436,CHEMBL125567,C[C@H](N)C(=O)N1CCCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,,Inhibition,=,100.0,%,,CHEMBL857573,Percentage inhibition was measured on human placenta dipeptidylpeptidase 4 after 30 min,B,CHEMBL1127410,J Med Chem,1994,CHEMBL284,Dipeptidyl peptidase 4
175438,CHEMBL125567,C[C@H](N)C(=O)N1CCCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,,K obs / 1,=,12.6,M-1 s-1,,CHEMBL666471,The second order inhibition rate constant was measured against human placenta dipeptidylpeptidase 4,B,CHEMBL1127410,J Med Chem,1994,CHEMBL284,Dipeptidyl peptidase 4
176780,CHEMBL63652,N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1B(O)O,,IC50,=,70.0,nM,7.16,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL1129318,J Med Chem,1996,CHEMBL284,Dipeptidyl peptidase 4
178094,CHEMBL63406,CC(C)(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,,IC50,=,60.0,nM,7.22,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL1129318,J Med Chem,1996,CHEMBL284,Dipeptidyl peptidase 4
180579,CHEMBL63895,O=C([C@@H]1CCCN1)N1CCC[C@H]1B(O)O,,IC50,=,20.0,nM,7.70,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL1129318,J Med Chem,1996,CHEMBL284,Dipeptidyl peptidase 4
181707,CHEMBL552804,C[C@H](N)C(=O)N1CCC[C@H]1P(=O)(Oc1ccccc1)Oc1ccccc1.Cl,,Inhibition,=,0.0,%,,CHEMBL664816,Percentage inhibition was measured on human placenta dipeptidylpeptidase 4 after 2 min incubation,B,CHEMBL1127410,J Med Chem,1994,CHEMBL284,Dipeptidyl peptidase 4
181708,CHEMBL552804,C[C@H](N)C(=O)N1CCC[C@H]1P(=O)(Oc1ccccc1)Oc1ccccc1.Cl,,Inhibition,=,33.0,%,,CHEMBL857573,Percentage inhibition was measured on human placenta dipeptidylpeptidase 4 after 30 min,B,CHEMBL1127410,J Med Chem,1994,CHEMBL284,Dipeptidyl peptidase 4
181710,CHEMBL552804,C[C@H](N)C(=O)N1CCC[C@H]1P(=O)(Oc1ccccc1)Oc1ccccc1.Cl,,K obs / 1,=,1.2,M-1 s-1,,CHEMBL666471,The second order inhibition rate constant was measured against human placenta dipeptidylpeptidase 4,B,CHEMBL1127410,J Med Chem,1994,CHEMBL284,Dipeptidyl peptidase 4
266951,CHEMBL276884,Cl.O=C(C1CCCN1)N1CCCC1P(=O)(OCC(F)(F)F)OCC(F)(F)F,,IC50,=,9100000.0,nM,,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1132608,J Med Chem,1999,CHEMBL284,Dipeptidyl peptidase 4
270838,CHEMBL1182947,O=C([C@@H]1CCCN1)N1CCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,,IC50,=,32000.0,nM,4.50,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1132608,J Med Chem,1999,CHEMBL284,Dipeptidyl peptidase 4
272162,CHEMBL273694,Cl.O=C([C@@H]1CCCN1)N1CCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,,IC50,>,10000.0,nM,,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1132608,J Med Chem,1999,CHEMBL284,Dipeptidyl peptidase 4
272163,CHEMBL265344,CC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(C)=O)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,,IC50,=,400.0,nM,6.40,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1132608,J Med Chem,1999,CHEMBL284,Dipeptidyl peptidase 4
273306,CHEMBL9237,COP(=O)(Oc1ccccc1-c1ccccc1O)C1CCCN1C(=O)[C@@H]1CCCN1.Cl,,IC50,=,47000.0,nM,4.33,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1132608,J Med Chem,1999,CHEMBL284,Dipeptidyl peptidase 4
275679,CHEMBL9724,Cl.O=C([C@@H]1CCCN1)N1CCCC1P1(=O)Oc2ccccc2-c2ccccc2O1,,IC50,=,31000.0,nM,4.51,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1132608,J Med Chem,1999,CHEMBL284,Dipeptidyl peptidase 4
277073,CHEMBL9561,COc1ccc(OP(=O)(Oc2ccc(OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,,IC50,=,22000.0,nM,4.66,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1132608,J Med Chem,1999,CHEMBL284,Dipeptidyl peptidase 4
277076,CHEMBL9238,COC(=O)CCNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCCC(=O)OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,,IC50,=,36.0,nM,7.44,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1132608,J Med Chem,1999,CHEMBL284,Dipeptidyl peptidase 4
282949,CHEMBL9512,Cl.NCC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)CN)cc2)C2CCCN2C(=O)C2CCCN2)cc1,,IC50,=,500.0,nM,6.30,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1132608,J Med Chem,1999,CHEMBL284,Dipeptidyl peptidase 4
